Pays,Année,FDI Inflows % GDP,Political Stability,Regulatory Quality,kaopen
Cap-Vert,2019,4.69595735976167,0.833261907100677,-0.0363074876368046,1.5255131721496582
Cap-Vert,2020,5.45788755667341,0.859627425670624,-0.0247740764170885,1.7772855758666992
Cap-Vert,2021,3.71218491455204,0.874232292175293,0.160896986722946,2.02905797958374
Cap-Vert,2022,4.45730498164251,0.894368469715118,0.26886397600174,2.280830383300781
Cap-Vert,2023,5.43014452079405,0.927069365978241,0.263682216405869,2.280830383300781
Cap-Vert,2024,6.33796269296642,0.903245568275452,0.242902502417564,2.280830383300781
Congo,2015,34.4182561027248,-0.529127299785614,-1.27837598323822,-1.2538762092590332
Congo,2016,34.4182561027248,-0.529127299785614,-1.27837598323822,-1.2538762092590332
Congo,2017,0.46296936341342,-0.523459076881409,-1.2065657377243,-1.2538762092590332
Congo,2018,37.3227748739474,-0.533614814281464,-1.41027545928955,-1.2538762092590332
Congo,2019,29.2086100198947,-0.34833887219429,-1.4128532409668,-1.2538762092590332
Congo,2020,-10.214754646531,-0.299274206161499,-1.29221296310425,-1.2538762092590332
Congo,2021,-17.2921171034228,-0.213043123483658,-1.4521666765213,-1.2538762092590332
Congo,2022,-2.15982873741865,-0.229436472058296,-1.23300182819366,-1.2538762092590332
Congo,2023,3.36508336137956,0.0389938205480576,-1.26143133640289,-1.2538762092590332
Congo,2024,4.0889721782705,0.0191620066761971,-1.23940634727478,-1.2538762092590332
Côte d'Ivoire,2015,1.07914154751206,-0.835078060626984,-0.554926514625549,-1.2538762092590332
Côte d'Ivoire,2016,1.07914154751206,-0.835078060626984,-0.554926514625549,-1.2538762092590332
Côte d'Ivoire,2017,1.19375800859004,-0.909238815307617,-0.422826766967773,-1.2538762092590332
Côte d'Ivoire,2018,1.85673486381973,-1.09111630916595,-0.406880408525467,-1.2538762092590332
Côte d'Ivoire,2019,1.05998699614336,-0.89799964427948,-0.254712522029877,-1.2538762092590332
Côte d'Ivoire,2020,1.40583048179048,-1.036496758461,-0.300067454576492,-1.2538762092590332
Côte d'Ivoire,2021,1.13111245703154,-1.03321969509125,-0.381347745656967,-1.2538762092590332
Côte d'Ivoire,2022,1.91282655892028,-0.715015649795532,-0.268797159194946,-1.2538762092590332
Côte d'Ivoire,2023,2.2547265327193,-0.587266504764557,-0.152012959122658,-1.2538762092590332
Côte d'Ivoire,2024,3.07641433618414,-0.631788194179535,-0.116081379354,-1.2538762092590332
Gabon,2015,0.289976985604188,0.0152472918853164,-0.732971966266632,-1.2538762092590332
Gabon,2016,0.289976985604188,0.0152472918853164,-0.732971966266632,-1.2538762092590332
Gabon,2017,8.86815381799839,-0.110105983912945,-0.717620611190796,-1.2538762092590332
Gabon,2018,8.80157025688894,-0.105890899896622,-0.71398663520813,-1.2538762092590332
Gabon,2019,8.17598940777917,-0.257340848445892,-0.889868915081024,-1.2538762092590332
Gabon,2020,9.20409837955739,-0.0750986188650131,-0.958428800106049,-1.2538762092590332
